time,gh:stars,gh:forks,gh:issues,gh:subscribers,dh:pulls,dh:stars
2018-07-11T04:00:05.943449378Z,8,15,1,1,927151,3
2018-07-12T04:00:05.922227613Z,8,15,1,1,958085,3
2018-07-13T04:00:05.966817025Z,8,15,1,1,988273,3
2018-07-14T04:00:05.928234621Z,8,15,1,1,1014847,3
2018-07-15T04:00:06.172495501Z,8,15,1,1,1040952,3
2018-07-16T04:00:06.310444662Z,8,15,1,1,1068347,3
2018-07-17T04:00:06.33045385Z,8,15,1,1,1097789,3
2018-07-18T04:00:05.865779677Z,8,15,1,1,1127399,3
2018-07-19T04:00:05.929368782Z,8,15,1,1,1159292,3
2018-07-20T04:00:05.683500224Z,8,15,1,1,1192611,3
2018-07-29T11:10:27.872895043Z,9,15,1,3,1548373,3
2018-07-30T04:00:06.210094258Z,9,15,1,3,1582873,3
2018-07-31T04:00:05.716737756Z,9,15,1,3,1647054,3
2018-08-01T04:00:05.927687976Z,9,15,1,3,1707572,3
2018-08-02T04:00:05.915273121Z,9,15,1,3,1763834,3
2018-08-03T04:00:05.731826618Z,9,15,1,3,1819763,3
2018-08-04T04:00:06.0313842Z,10,15,1,3,1874339,3
2018-08-05T04:00:05.775507342Z,10,15,1,3,1930691,3
2018-08-06T04:00:06.176302761Z,10,15,1,3,1987933,3
2018-08-07T04:00:05.716200864Z,10,15,1,3,2043250,3
2018-08-08T04:00:06.07899972Z,10,15,1,3,2082417,3
2018-08-09T04:00:05.514934853Z,10,15,1,3,2109278,3
2018-08-10T04:00:05.8084232Z,10,17,1,3,2123349,3
2018-08-11T04:00:05.776094985Z,10,17,1,3,2135716,3
2018-08-12T04:00:07.445009599Z,10,17,1,3,2147198,3
2018-08-13T04:00:05.811043292Z,10,17,1,3,2160047,3
2018-08-14T04:00:05.447677882Z,10,17,1,3,2172899,3
2018-08-15T04:00:05.744677523Z,10,17,1,3,2186544,3
2018-08-16T04:00:05.556069837Z,10,17,1,3,2201460,3
2018-08-17T04:00:05.522809607Z,10,17,1,3,2213909,3
2018-08-18T04:00:05.469564827Z,10,17,1,3,2226158,3
2018-08-19T04:00:05.516127127Z,10,17,1,3,2237710,3
2018-08-20T04:00:05.412385601Z,10,18,1,3,2249542,3
2018-08-21T04:00:06.231273207Z,10,18,1,3,2258271,3
2018-08-22T04:00:05.568653635Z,10,18,1,3,2266410,3
2018-08-23T04:00:05.780838018Z,10,18,1,3,2273974,3
2018-08-24T04:00:05.549714705Z,10,18,1,3,2281282,3
2018-08-25T04:00:05.916161148Z,10,18,1,3,2291004,3
2018-08-26T04:00:06.07182315Z,10,18,1,3,2302567,3
2018-08-27T04:00:05.859825836Z,10,18,1,3,2314671,3
2018-08-28T04:00:06.050355881Z,10,18,1,3,2325791,3
2018-08-29T04:00:06.116326913Z,10,18,1,3,2336845,3
2018-08-30T04:00:05.877263694Z,10,18,1,3,2348978,3
2018-08-31T04:00:06.231095814Z,10,18,1,3,2361141,3
2018-09-01T04:00:05.80916406Z,10,18,1,3,2372543,3
2018-09-02T04:00:06.044628918Z,10,18,1,3,2384254,3
2018-09-03T04:00:06.207507004Z,10,18,1,3,2396018,3
2018-09-04T04:00:06.157585676Z,10,18,1,3,2407761,3
2018-09-05T04:00:06.125115719Z,10,18,1,3,2419619,3
